player_name,total_distance,multiplier,Team
Mike Ford,30598,240.929133858268,New York
Ildemaro Vargas,30559,240.622047244095,Arizona
Kevan Smith,30374,239.165354330709,Los Angeles
Marco Hernandez,30251,238.196850393701,Boston
Austin Slater,30159,237.472440944882,San Francisco
Yairo Munoz,30080,236.850393700787,St. Louis
Jose Trevino,29550,232.677165354331,Texas
Mitch Haniger,29511,232.370078740157,
Ender Inciarte,29485,232.165354330709,
Daniel Robertson,29439,231.803149606299,Tampa Bay
Kevin Plawecki,29238,230.220472440945,Cleveland
Leonys Martin,28925,227.755905511811,
Cam Gallagher,28717,226.11811023622,
Adam Duvall,28502,224.425196850394,Atlanta
Steven Duggar,28491,224.338582677165,
Mauricio Dubon,28299,222.826771653543,San Francisco
Gregory Polanco,28129,221.488188976378,
Austin Barnes,27799,218.889763779528,Los Angeles
Jose Rondon,27792,218.834645669291,
Keon Broxton,27785,218.779527559055,Seattle
Lewis Brinson,27758,218.566929133858,Miami
Ryan Goins,27203,214.196850393701,Chicago
Matt Duffy,27069,213.141732283465,Tampa Bay
Alex Avila,26410,207.952755905512,Arizona
Brad Miller,26404,207.905511811024,Philadelphia
Andrew Knapp,26374,207.669291338583,Philadelphia
Cole Tucker,26170,206.062992125984,Pittsburgh
Bryan Holaday,26100,205.511811023622,Miami
Pablo Reyes,25970,204.488188976378,Pittsburgh
Charlie Culberson,25849,203.535433070866,
Reese McGuire,25849,203.535433070866,Toronto
DJ Stewart,25814,203.259842519685,Baltimore
Andrew McCutchen,25676,202.173228346457,
Charlie Tilson,25327,199.425196850394,
Mac Williamson,25090,197.55905511811,
Chris Iannetta,24804,195.307086614173,
Myles Straw,24321,191.503937007874,Houston
Rafael Ortega,24305,191.377952755906,Atlanta
Sean Rodriguez,24091,189.692913385827,Philadelphia
Carlos Gomez,23995,188.937007874016,
Eduardo Nunez,23709,186.685039370079,
Tim Lopes,23563,185.535433070866,Seattle
Nick Solak,23514,185.149606299213,Texas
Tyler Austin,22897,180.291338582677,Milwaukee
Jake Rogers,22894,180.267716535433,Detroit
Kendrys Morales,22798,179.511811023622,
Tomas Nido,22435,176.653543307087,New York
Grayson Greiner,22282,175.448818897638,Detroit
Willi Castro,22136,174.299212598425,Detroit
Sam Hilliard,21660,170.551181102362,Colorado
Meibrys Viloria,21150,166.535433070866,Kansas City
Tyler O'Neill,21118,166.283464566929,St. Louis
Wilfredo Tovar,20840,164.094488188976,
Nico Hoerner,20810,163.858267716535,Chicago
Dustin Garneau,20356,160.283464566929,
Derek Fisher,20140,158.582677165354,Toronto
Jung Ho Kang,20042,157.811023622047,
Cesar Puello,19931,156.937007874016,
Jace Peterson,19870,156.456692913386,
Carlos Gonzalez,19715,155.236220472441,
Joey Rickard,19242,151.511811023622,San Francisco
Zack Collins,18972,149.385826771654,Chicago
Nick Martini,18956,149.259842519685,San Diego
Ryan Zimmerman,18679,147.07874015748,Washington
Seth Brown,18430,145.11811023622,Oakland
Jonathan Davis,18282,143.952755905512,Toronto
Jedd Gyorko,17802,140.173228346457,Los Angeles
Gavin Lux,17612,138.677165354331,Los Angeles
Kevin Cron,17567,138.322834645669,Arizona
Nick Williams,17511,137.88188976378,Philadelphia
Tim Federowicz,17119,134.795275590551,Texas
Brett Phillips,16902,133.086614173228,Kansas City
Nick Dini,16785,132.165354330709,Kansas City
Mark Reynolds,16477,129.740157480315,
Scott Heineman,16426,129.338582677165,Texas
Abraham Toro,16322,128.51968503937,Houston
